Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
16	-32.09829	1.7673805	-28.794573	-37.0408	26.0	-16.073828	0.4097125	-13.784811	-16.857416	17000	1.525879e-08	63.563213	-0.013752521	-0.49946976	4.4963098	0.020705631	0.231	7.0	13.893853902816772
17	-31.683853	4.2142096	-8.111102	-37.288975	25.538462	-16.404778	0.32240954	-13.168888	-17.752283	18000	-5.722046e-09	66.36081	-0.014289677	-0.4332657	4.5532794	0.020540241	0.179	6.0	14.587985038757324
18	-31.65379	2.080949	-27.95612	-36.412537	26.0	-16.302496	0.3232085	-14.674989	-17.306581	19000	-1.1444092e-08	64.22281	-0.012901637	-0.32211685	4.572017	0.018712826	0.26	8.0	15.291600942611694
19	-31.398468	3.325664	-14.079967	-36.73835	25.641026	-16.09223	0.3626476	-13.107686	-17.132626	20000	-3.4332274e-08	63.03692	-0.015563237	-0.7654953	4.53993	0.018813714	0.227	7.0	15.979650497436523
20	-30.572691	4.442511	-8.113346	-35.260273	25.282051	-15.941866	0.8403629	-1.0424054	-17.752777	21000	-3.8146974e-09	64.09602	-0.013926117	-1.9438438	4.451984	0.02280373	0.192	6.0	18.697145462036133
21	-30.976812	4.019994	-9.817761	-37.972813	25.538462	-15.932851	0.50389504	-9.604077	-17.353445	22000	2.0980835e-08	63.56573	-0.01309084	-0.9383316	4.532398	0.023573708	0.218	6.0	19.40996813774109
22	-31.881933	1.7312771	-27.384714	-35.43563	26.0	-15.915785	0.42643106	-14.852834	-16.801105	23000	-1.7166137e-08	63.888306	-0.011285529	-0.5872574	4.5745425	0.019825757	0.218	6.0	20.103941440582275
23	-30.967655	1.9257616	-26.724041	-36.32202	26.0	-15.97739	0.82455873	-1.6483288	-17.863474	24000	1.525879e-08	59.375233	-0.017222557	-1.6160545	4.481216	0.016975177	0.253	9.0	20.80009889602661
24	-31.293049	1.9538432	-27.356731	-36.78812	26.0	-15.744469	0.88579935	-12.06216	-18.019423	25000	0.0	62.34987	-0.01370507	-1.4138069	4.4868326	0.020376667	0.154	5.0	21.51524329185486
25	-30.872217	1.8447635	-27.501938	-35.909042	26.0	-15.800707	0.87240124	-4.0194488	-17.743416	26000	1.9073486e-08	59.622726	-0.027301041	-1.8450699	4.5627837	0.016419686	0.187	27.0	22.298004150390625
26	-31.047646	1.6238173	-27.80048	-34.302032	26.0	-15.576456	1.0481031	-8.87685	-18.235458	27000	-7.629395e-09	58.52999	-0.016101094	-0.94096756	4.501131	0.020844394	0.157	5.0	22.984412670135498
27	-31.056843	1.9979663	-27.582073	-37.01544	26.0	-15.8054085	1.1487771	-14.02054	-18.228695	28000	-1.9073487e-09	59.68789	-0.013585087	-0.68761826	4.4066463	0.01862396	0.227	9.0	23.691545724868774
28	-30.209976	3.510252	-11.13602	-33.883232	25.538462	-15.679988	1.1125504	-11.949782	-18.541351	29000	-3.8146974e-09	59.931	-0.016782574	-1.7137299	4.4768114	0.019440023	0.236	7.0	24.38577437400818
29	-30.616024	2.7328887	-18.451233	-34.89523	25.789474	-15.352299	1.1291064	1.2604666	-19.084162	30000	1.525879e-08	61.504116	-0.019408943	-4.012928	4.5884676	0.019097283	0.303	9.0	25.099024772644043
30	-30.672644	1.4420756	-26.851746	-33.89718	26.0	-15.585536	1.6801105	-10.221263	-19.813457	31000	-1.1444092e-08	57.65244	-0.015324055	-1.638073	4.468673	0.02353234	0.169	5.0	28.69243288040161
31	-29.962101	2.219059	-20.448298	-33.720974	25.789474	-15.274641	1.3853503	-9.255108	-19.463366	32000	1.3351441e-08	55.549595	-0.022058016	-1.2215462	4.3958254	0.015549742	0.124	32.0	29.461508750915527
32	-30.082369	1.6701219	-26.921808	-34.43867	26.0	-15.283097	1.4737263	-3.7291927	-20.754978	33000	-2.6702882e-08	53.973633	-0.015806306	-2.6633835	4.488791	0.021374637	0.221	5.0	30.159148931503296
33	-30.0578	1.9812859	-26.403437	-35.60402	26.0	-15.056581	1.6169945	-3.2759101	-22.226574	34000	2.4795533e-08	57.322063	-0.0072183018	-3.5386734	4.4843125	0.018918522	0.173	6.0	30.869073152542114
34	-30.115835	1.8981907	-25.810886	-33.3054	26.0	-15.225506	1.5126173	-12.381759	-21.972391	35000	9.536743e-09	54.662148	-0.015561403	-2.432232	4.4235024	0.019247143	0.235	6.0	31.557359218597412
35	-29.329298	1.8507913	-25.664776	-33.808548	26.0	-14.956843	1.8024387	-5.366017	-24.614481	36000	-1.7166137e-08	50.48935	-0.016392592	-2.5491066	4.3855324	0.027317578	0.236	5.0	32.248862504959106
36	-29.279766	1.8598645	-25.48542	-32.27632	26.0	-14.624107	1.7512062	-9.798676	-25.079542	37000	-2.4795533e-08	49.376945	-0.012462219	-2.2036324	4.4237356	0.020145325	0.254	6.0	32.94751739501953
37	-29.206844	3.13182	-13.177671	-33.76979	25.68421	-14.767023	2.2819333	-12.141867	-26.320963	38000	-1.0490417e-08	55.796806	-0.015220333	-4.7926865	4.4652634	0.01996312	0.26	6.0	33.640788078308105
38	-29.187698	1.7821347	-25.523968	-33.096977	26.0	-15.008265	1.7888302	-11.571905	-26.690233	39000	3.242493e-08	48.02535	-0.010782271	-2.5452194	4.3906403	0.02082572	0.251	6.0	34.50264763832092
39	-29.954838	1.7982757	-26.094898	-34.426086	26.0	-14.799431	2.4233897	-11.278924	-27.253038	40000	-2.6702882e-08	49.754086	-0.011965075	-1.7546349	4.474891	0.015661333	0.184	8.0	35.234949350357056
40	-29.569204	1.7431346	-26.254335	-33.060234	26.0	-14.841243	2.459609	-9.532223	-28.163313	41000	7.629395e-09	50.948517	-0.0118368035	-3.869938	4.4324584	0.01913771	0.292	7.0	41.41184067726135
41	-29.472897	1.7531602	-25.839302	-32.971565	26.0	-14.757118	2.7812295	-4.305051	-28.344297	42000	1.4305115e-09	50.94162	-0.030352535	-2.8703384	4.4961057	0.005733258	0.148	79.0	42.36889576911926
42	-28.358784	1.8425283	-24.241053	-32.453625	25.973684	-14.668833	2.39185	-12.304928	-28.869888	43000	2.861023e-09	45.72871	-0.015856491	-1.580555	4.348506	0.01724051	0.257	9.0	43.084248065948486
43	-27.832266	3.0448318	-12.284837	-33.230255	25.589743	-14.220271	2.381829	-12.16097	-27.84189	44000	-2.861023e-09	44.164806	-0.008588498	-1.1460037	4.318785	0.021543412	0.2	7.0	43.791396141052246
44	-28.782063	1.400608	-25.931372	-31.728682	26.0	-14.198238	2.2694752	-11.781951	-27.50621	45000	3.6239623e-08	47.8648	-0.034510978	-1.8294983	4.4765763	0.009635394	0.188	79.0	44.88220477104187
45	-27.454927	4.142612	-9.548587	-32.143757	25.179487	-14.52289	2.3692963	-11.995201	-28.57958	46000	-3.71933e-08	49.037563	-0.012621455	-1.8806152	4.4479604	0.016503321	0.216	8.0	45.584551095962524
46	-27.685575	1.8118231	-23.84627	-31.534662	26.0	-14.314066	2.1536765	-12.426069	-27.212143	47000	6.6757204e-09	43.575226	-0.012519857	-1.2451248	4.3413744	0.022883598	0.205	5.0	46.33692169189453
47	-27.796515	2.144406	-25.116808	-33.71214	26.0	-13.95909	2.2618058	-12.058669	-28.595049	48000	5.722046e-09	43.093216	-0.008596111	-1.5167923	4.4301615	0.017515915	0.229	6.0	47.17079401016235
48	-26.06474	3.7263906	-12.216817	-30.641926	25.102564	-14.052627	2.4006708	-11.761536	-27.105032	49000	9.536743e-09	44.41197	-0.011473112	-2.3088074	4.300716	0.023080127	0.263	6.0	47.90790867805481
49	-26.320528	3.4777665	-10.025236	-29.600977	25.358974	-13.462303	2.2775948	-11.328525	-27.968884	50000	-2.6941299e-08	42.31632	-0.011633817	-1.7582092	4.4908323	0.02237098	0.251	6.0	48.68628120422363
50	-25.77405	1.5911593	-21.508858	-28.772806	25.868422	-13.324523	2.3266366	-11.360381	-28.494808	51000	1.6212464e-08	38.321507	-0.013056258	-0.97039413	4.407616	0.017922198	0.214	7.0	54.3170645236969
51	-24.390226	4.57185	-3.1740308	-30.422617	25.0	-13.019292	2.4898279	-10.944077	-26.209522	52000	-3.8146974e-09	38.595615	-0.013759345	-1.4145279	4.279365	0.021148693	0.325	6.0	55.04186177253723
52	-25.635002	1.8631475	-21.71238	-29.124462	25.947369	-12.745024	2.601297	-5.3823805	-27.10647	53000	1.1444092e-08	37.860844	-0.01219271	-1.4479065	4.349332	0.019568253	0.204	6.0	55.82919478416443
53	-25.45525	2.4022546	-16.382345	-29.422146	25.710526	-13.00392	2.337428	-11.011013	-25.88954	54000	-3.0755995e-08	37.935852	-0.016093187	-1.0848274	4.3863244	0.027749466	0.29	4.0	56.600518226623535
54	-23.784685	5.525706	-4.192625	-28.007456	24.292683	-12.853521	2.2032752	-10.887445	-25.46359	55000	-2.1457673e-08	36.95825	-0.006188748	-1.3516693	4.387908	0.01780341	0.217	4.0	57.831493854522705
55	-23.28335	5.0074177	-4.7397113	-27.382347	24.575	-12.342848	2.0765092	-8.3348675	-24.65577	56000	4.7683715e-09	35.38906	-0.017390542	-1.3703117	4.30955	0.016219648	0.181	19.0	58.839699268341064
56	-24.799784	3.3955438	-6.438095	-31.632448	25.512821	-12.44622	2.0657866	-8.13701	-24.71602	57000	7.629395e-09	36.882168	-0.012095283	-1.1062737	4.4053674	0.019050235	0.202	7.0	59.72125959396362
57	-24.982618	3.0153558	-11.6262865	-30.66725	25.538462	-12.738447	1.8933263	-10.987456	-25.228516	58000	-3.6239623e-08	37.033554	-0.012258028	-2.0046196	4.370303	0.024653446	0.244	4.0	60.385737657547
58	-24.329004	2.667616	-10.178393	-27.707417	25.589743	-12.43338	2.416871	-7.8288975	-25.203705	59000	-2.2768974e-08	35.90506	-0.0074223443	-2.3452606	4.2881837	0.019551571	0.252	5.0	61.10694885253906
59	-24.450941	1.9341377	-16.97908	-29.38993	25.921053	-12.383492	2.0587854	-9.429556	-24.376337	60000	1.2397766e-08	33.688225	-0.01094962	-1.7321587	4.191337	0.01634314	0.182	7.0	61.77613282203674
60	-23.63879	3.9996552	-6.8331785	-29.258503	25.102564	-12.136276	2.2125244	-10.012909	-24.986435	61000	-2.324581e-08	36.114647	-0.032939803	-1.2610931	4.2491055	0.0021192895	0.184	79.0	68.170401096344
61	-23.868282	4.6515856	-2.8776093	-27.911179	24.975	-12.386521	2.004768	-1.4730128	-24.275879	62000	3.194809e-08	36.750828	-0.018071108	-1.727459	4.2493286	0.023498591	0.249	6.0	68.8244788646698
62	-23.502491	3.9918861	-2.226138	-28.228544	25.076923	-12.232345	2.046924	-10.478802	-24.9645	63000	7.629395e-09	34.68442	-0.01130615	-2.2696304	4.2306747	0.018135658	0.277	6.0	69.49759936332703
63	-22.357365	5.4518986	-3.562073	-29.061687	24.292683	-12.118028	2.5760474	-9.70676	-24.972095	64000	-1.6450882e-08	33.17431	-0.03688723	-1.4822159	4.1793	0.00499475	0.207	79.0	70.35065245628357
64	-22.46827	3.3097584	-10.711213	-25.843555	25.02564	-11.631919	2.0871668	-9.88975	-23.249384	65000	2.861023e-09	33.882755	-0.016407322	-1.0259819	4.138931	0.019598018	0.197	9.0	71.0109589099884
65	-22.35935	3.4002821	-4.939713	-27.284273	25.333334	-11.772422	1.8919318	-10.301398	-22.131865	66000	3.4332274e-08	29.778465	-0.009760947	-0.6706009	4.09933	0.023096664	0.299	6.0	71.6797046661377
66	-21.436687	4.9425626	-3.5465791	-26.509216	24.292683	-11.350158	2.0794258	-4.6203756	-22.284761	67000	4.2438508e-08	30.715574	-0.01248141	-1.4860096	4.168426	0.020679299	0.21	7.0	72.3417911529541
67	-21.387394	4.518933	-5.463117	-26.176596	24.390244	-11.147752	1.9832484	0.5087783	-22.227129	68000	1.2397766e-08	30.029055	-0.035220843	-1.1889858	4.163672	0.0119059635	0.175	79.0	73.20461130142212
68	-22.017094	3.9075708	-2.236629	-26.71504	25.128204	-11.229457	1.9500003	-9.493874	-21.749872	69000	-1.3351441e-08	29.875597	-0.009533474	-1.0699368	4.1764765	0.025795966	0.206	4.0	73.86009931564331
69	-22.185453	2.8160987	-9.457415	-26.035963	25.333334	-11.465261	1.8664021	-9.673259	-21.959034	70000	-2.2411346e-08	29.286009	-0.016754856	-1.0372868	4.1361303	0.016642397	0.189	10.0	74.53024792671204
70	-22.27063	2.9435225	-7.1956835	-26.110552	25.435898	-11.3761015	2.0317063	-9.392532	-21.064173	71000	-7.152557e-09	29.327257	-0.035711672	-1.3501434	4.1063547	0.009094988	0.193	79.0	81.64907503128052
71	-21.085752	4.2432933	-2.497194	-24.866657	24.675	-11.25755	2.020108	-9.3841915	-21.435163	72000	1.9192695e-08	28.50212	-0.011555189	-0.8969631	4.0237494	0.015869588	0.161	6.0	82.30864763259888
72	-21.242514	5.236516	-1.3791876	-26.667437	24.146341	-11.159706	2.018384	2.396174	-21.216097	73000	-1.7166137e-08	29.995012	-0.020998344	-1.3776798	4.1352463	0.016003326	0.231	14.0	83.02635383605957
73	-20.90254	4.5077105	-5.249042	-24.6609	24.219513	-11.1160145	2.0361285	-6.846388	-21.000814	74000	-7.629395e-09	29.217735	-0.037300523	-1.0699654	4.0668993	0.0060411803	0.192	79.0	83.89528894424438
74	-20.389902	3.9461403	-3.930749	-26.266912	24.243902	-10.935	1.6854781	-9.566307	-20.03046	75000	-4.768372e-10	27.01132	-0.01585264	-1.0804768	3.9441886	0.019210417	0.188	8.0	84.56015729904175
75	-21.21493	2.8658261	-6.432004	-25.148916	25.487179	-10.416347	1.8264316	-7.2979226	-20.414656	76000	4.863739e-08	27.584694	-0.008574313	-1.5886555	3.9267452	0.02784152	0.219	3.0	85.21745491027832
76	-19.479929	6.553724	-0.8935364	-25.776878	22.59091	-10.909256	1.7951578	-9.306718	-19.957457	77000	3.9100648e-08	29.752394	-0.013409661	-1.2069817	3.9721286	0.018328633	0.202	6.0	85.87286829948425
77	-20.070322	5.4949536	-1.3247275	-26.026445	23.642857	-10.730379	1.7874302	-3.1984737	-20.212143	78000	-3.8146974e-09	30.109737	-0.016471764	-1.3965416	3.934228	0.015612391	0.246	10.0	86.54067325592041
78	-20.308632	4.727012	-1.0834905	-24.324913	23.853659	-10.884848	1.8634528	-8.803688	-20.388475	79000	-2.193451e-08	29.597187	-0.014062309	-0.7844658	3.9237208	0.014500503	0.216	9.0	87.21398448944092
79	-20.900925	4.167611	-5.337207	-26.497484	24.4	-10.863084	1.7448814	-9.49113	-20.008121	80000	-2.2888184e-08	28.831335	-0.015821869	-0.70853424	3.9618611	0.021782134	0.298	5.0	87.87560606002808
80	-21.54391	2.0030932	-12.914344	-25.700373	25.710526	-10.916243	1.9156953	-9.299886	-20.782692	81000	-1.4424324e-08	27.93724	-0.0083827805	-0.4768772	3.883412	0.021316793	0.256	4.0	95.63429069519043
81	-20.613647	3.4770603	-6.4503326	-24.467226	24.775	-11.0249	1.7757306	-9.531375	-20.467045	82000	-1.6212464e-08	26.605957	-0.036282968	-1.0053558	3.9653468	0.012909121	0.216	79.0	96.50437784194946
82	-18.134901	5.6779575	-1.2930461	-22.78332	22.613636	-10.477295	2.1135375	-8.601625	-20.627983	83000	5.722046e-09	25.960295	-0.0146837	-1.3484039	3.735575	0.01597676	0.27	5.0	97.15551471710205
83	-19.249737	4.675868	-2.9387288	-24.177078	23.95122	-9.890877	1.4854418	5.2603197	-18.381025	84000	3.8146974e-09	26.853582	-0.015129074	-2.219204	3.7664385	0.017452408	0.248	7.0	97.82573175430298
84	-20.636343	1.6189486	-15.340837	-24.083012	25.868422	-10.143226	1.829284	-4.3882804	-20.145327	85000	-5.2452087e-09	23.446218	-0.011799335	-0.76301575	3.7126255	0.015533205	0.187	5.0	98.48518204689026
85	-19.787775	3.8009531	-4.22628	-23.91309	24.525	-10.471768	1.9389119	-8.89165	-19.93187	86000	1.2755394e-08	25.386517	-0.011748072	-0.6644726	3.735359	0.018402427	0.171	8.0	99.15681314468384
86	-19.7472	4.1181655	-2.7395375	-23.422785	24.341463	-10.300194	1.9535455	-8.758457	-19.673365	87000	-3.3020974e-08	24.27108	-0.037708733	-0.7267132	3.734797	0.003909226	0.2	79.0	100.02353143692017
87	-18.749407	4.870063	-6.2998548	-24.18833	23.214285	-10.315028	1.8142078	-4.5075827	-19.457258	88000	2.7298928e-08	26.036118	-0.01090295	-0.75535583	3.6963413	0.015575294	0.159	5.0	100.6812732219696
88	-19.60071	2.9437945	-3.9164448	-22.995464	25.02564	-9.862066	1.6257765	-8.723906	-19.047209	89000	-3.6239623e-08	24.45037	-0.01626581	-0.72148705	3.61992	0.019644842	0.229	7.0	101.35596704483032
89	-17.082687	5.511445	-3.4103909	-23.917318	22.044445	-10.253315	2.0481067	-8.838194	-19.96948	90000	-1.6450882e-08	24.066774	-0.01505715	-1.7107372	3.5965471	0.022305606	0.217	5.0	102.01281023025513
90	-19.57369	3.910909	-4.450173	-24.070742	24.6	-9.291131	1.7375913	9.570109	-18.501612	91000	1.001358e-08	27.385836	-0.011773222	-3.2473907	3.8144624	0.022850182	0.278	4.0	111.05608868598938
91	-17.80802	5.3414135	-1.3400348	-22.968954	22.83721	-10.330729	1.7681817	-9.103641	-19.242847	92000	-1.704693e-08	23.861444	-0.037075106	-1.2384262	3.62025	0.006558792	0.216	79.0	112.25205421447754
92	-16.826159	5.5362525	-2.0646873	-23.348288	22.15909	-9.754676	1.8040444	-8.115597	-18.550817	93000	-4.386902e-08	24.309654	-0.0140687255	-1.0767212	3.5483537	0.017569931	0.267	4.0	113.344731092453
93	-17.664207	4.3464303	-2.8359396	-22.073608	23.761906	-9.232471	1.552791	-7.9958563	-17.1997	94000	1.1444092e-08	21.2438	-0.0077394126	-0.36233902	3.5264692	0.014513247	0.231	5.0	114.15907335281372
94	-17.831192	3.9304664	-0.8829526	-22.6759	24.146341	-9.345748	1.4765157	-8.346381	-17.265574	95000	-3.528595e-08	21.108316	-0.010390207	-0.77033234	3.5067666	0.02291494	0.214	5.0	115.02299380302429
95	-17.518295	4.7363305	-3.097793	-22.481743	23.238094	-9.440664	1.6874878	-5.3620377	-17.952862	96000	1.5377998e-08	23.476892	-0.03667014	-0.9432659	3.567484	0.0017308422	0.203	79.0	115.97818398475647
96	-17.208452	5.0279455	-0.65926164	-21.53453	23.238094	-9.629324	1.6902338	4.6697383	-18.053211	97000	-4.720688e-08	22.305225	-0.03391619	-0.903635	3.495489	0.0050156666	0.172	79.0	117.13680768013
97	-17.958485	3.59621	-4.070927	-21.757648	24.375	-9.468276	1.851545	1.1964718	-18.208965	98000	-2.4795533e-08	21.235497	-0.013574207	-0.75154686	3.335335	0.014178246	0.176	5.0	118.03173446655273
98	-17.865427	4.5525436	-0.9971954	-21.649483	23.738094	-9.518974	1.7250797	-7.052459	-17.572199	99000	-1.0967255e-08	21.029537	-0.019179292	-0.7904358	3.4463868	0.019362815	0.22	10.0	118.87100744247437
99	-17.696735	3.7804375	-1.757469	-21.375408	24.475	-9.437554	1.6029744	-0.10661466	-17.628296	100000	-3.3378602e-09	20.788496	-0.034540225	-0.7375984	3.3594174	0.01126268	0.206	79.0	134.0005738735199
