Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-34.15427	5.0481896	-4.6022477	-38.556957	25.435898	-0.005657284	0.39152578	1.255694	-1.6396736	1000	-7.05719e-08	384.63943	-0.022885142	-233.17656	4.617595	0.027739562	0.237	3.0	1.446220874786377
1	-35.053646	1.5857207	-31.626226	-39.91791	26.0	-8.829804	1.364997	6.9136624	-11.800438	2000	1.1444092e-08	164.26611	-0.013440345	-86.16312	4.665231	0.021056363	0.196	5.0	2.1330554485321045
2	-34.60987	1.6137881	-31.495667	-39.472137	26.0	-16.974102	2.152428	13.748427	-18.51971	3000	-2.2888184e-08	88.46887	-0.019250523	-12.133369	4.6403146	0.021992581	0.215	7.0	2.829211473464966
3	-33.879818	1.61952	-31.085035	-38.85787	26.0	-17.369312	1.5345881	-1.0649705	-18.631311	4000	7.629395e-09	79.82981	-0.013616943	-6.8038406	4.55908	0.020825624	0.183	7.0	3.52553653717041
4	-33.090313	2.5306242	-20.053802	-36.834064	25.763159	-17.331804	0.7795978	-4.9481416	-18.594927	5000	1.1444092e-08	74.996765	-0.0145378355	-3.0220795	4.5396786	0.018371053	0.221	9.0	4.235897779464722
5	-33.233837	2.5155587	-21.60733	-37.22306	25.81579	-16.907246	1.5966604	7.4110117	-18.529335	6000	-3.8146974e-09	78.53545	-0.019092385	-5.883301	4.6122746	0.016423643	0.184	14.0	4.950092077255249
6	-32.900738	1.4275166	-29.620796	-35.434174	26.0	-17.150888	1.3032444	6.0344462	-18.61111	7000	5.3405763e-08	70.84673	-0.014853485	-4.215042	4.4854956	0.020589894	0.102	5.0	5.634103536605835
7	-33.00984	1.8397323	-27.719038	-35.639286	26.0	-16.874043	0.56007826	-10.178053	-18.126755	8000	4.196167e-08	69.95278	-0.012137235	-1.5646896	4.4866953	0.018485634	0.228	7.0	6.34366512298584
8	-33.28483	1.82316	-29.771746	-38.51301	26.0	-16.823078	0.4019462	-12.515635	-17.55094	9000	3.051758e-08	70.43398	-0.013890183	-1.7319031	4.593094	0.023089955	0.166	6.0	7.035876035690308
9	-33.35442	1.5492547	-29.934315	-36.369457	26.0	-16.77142	0.9531569	-4.0552506	-18.206512	10000	-1.9073486e-08	72.279915	-0.017832046	-2.9249725	4.6189704	0.018880028	0.252	7.0	7.74157977104187
10	-33.062035	1.3450967	-29.866743	-35.74479	26.0	-16.977535	0.35447204	-10.649697	-18.086777	11000	-7.629395e-09	69.6459	-0.018407563	-0.5975342	4.5881786	0.024057625	0.173	5.0	9.70405912399292
11	-33.152172	1.8921804	-29.079456	-37.031254	26.0	-16.772945	0.2633974	-12.438052	-17.663067	12000	-7.629395e-09	68.962814	-0.011828816	-0.6155319	4.598332	0.017492304	0.241	7.0	10.392338752746582
12	-33.251637	1.9931124	-29.419744	-37.3286	26.0	-16.804195	0.32758066	-12.276582	-17.41542	13000	1.3351441e-08	71.215935	-0.014053922	-0.6989517	4.604256	0.021286394	0.228	7.0	11.089155912399292
13	-32.435726	1.381413	-29.683527	-35.404972	26.0	-16.926558	0.5312387	-11.596107	-18.108608	14000	3.242493e-08	67.18638	-0.018927025	-1.000145	4.559374	0.020116443	0.176	7.0	11.77555775642395
14	-32.036945	1.7847415	-28.03472	-35.500763	26.0	-16.55395	0.36548516	-13.3937645	-17.557121	15000	7.629395e-09	65.81969	-0.017376188	-0.5447464	4.574993	0.023347113	0.203	5.0	12.466625452041626
15	-31.116514	4.560565	-5.2097964	-35.436287	25.461538	-16.297997	0.44805798	-13.165987	-17.220016	16000	1.525879e-08	63.47044	-0.009196205	-0.8126831	4.501657	0.022068974	0.188	7.0	13.189857244491577
